,date,datatype,station,attributes,value
0,2021-10-01T00:00:00,AWND,GHCND:USW00023234,",,W,",8.1
1,2021-10-01T00:00:00,PRCP,GHCND:USW00023234,",,W,2400",0.0
2,2021-10-01T00:00:00,TAVG,GHCND:USW00023234,"H,,S,",66.0
3,2021-10-01T00:00:00,TMAX,GHCND:USW00023234,",,W,2400",80.0
4,2021-10-01T00:00:00,TMIN,GHCND:USW00023234,",,W,2400",56.0
5,2021-10-01T00:00:00,WDF2,GHCND:USW00023234,",,W,",300.0
6,2021-10-01T00:00:00,WDF5,GHCND:USW00023234,",,W,",300.0
7,2021-10-01T00:00:00,WSF2,GHCND:USW00023234,",,W,",21.0
8,2021-10-01T00:00:00,WSF5,GHCND:USW00023234,",,W,",23.9
9,2021-10-01T00:00:00,WT08,GHCND:USW00023234,",,W,",1.0
